subjects,price,rating,reviewCount,shortDescription,canWorkOnline,isVerified,location,education,experience,source
Английский язык,3500,5.0,2,"Работаю преподавателем английского языка, специализируясь на подготовке учеников к экзаменам и обучении с нуля. В процессе работы в «Just to Study» и «Meta-Study» создала собственную методику, которая помогает легко освоить язык и развить навыки общения. ",True,False,Алматы,Université Claude Bernard Lyon 1,более 5 лет,Buki
Английский язык,7000,4.9,72,"Репетитор англ.яз. со своей уникальной методикой.
Подготавливаю по всем направлениям.
Только серьёзные ученики. ",True,True,Шымкент,Южно-Казахстанский государственный университет имени М. О. Ауэзова,более 20 лет,Buki
Английский язык,3500,0.0,0,"Опытный преподаватель английского языка с 9-летним стажем, включая 5 лет в гос. Школе. Сертификат TEFL/TESOL, владею пятью языками, использую интерактивные методы обучения. ",True,True,,Евразийский гуманитарный институт,более 5 лет,Buki
Математика; Физика; Английский язык; Программирование; Теория вероятностей; Информатика; STEM и робототехника; Электротехника,4000,4.9,77,"🏆 Дважды ТОП-репетитор BUKI (2023-2025). Доверие 180+ клиентов и более 70 отзывов с высоким рейтингом 4.9 из 5. 7+ лет онлайн-опыта. Индивидуальные занятия: математика, информатика, физика, электротехника, робототехника, программирование. Подготовка к ЕНТ. Онлайн.

📞 Запишитесь сейчас и откликнитесь на мою анкету! ",True,False,Павлодар,Сибирский государственный университет телекоммуникаций и информатики,более 10 лет,Buki
Английский язык; Казахский язык,4000,4.9,73,Репетитор по английскому и казахскому языкам ,True,False,Семей,"Университет ""Кайнар"" г.Семей",более 20 лет,Buki
Казахский язык,3500,0.0,0,Учителем казахского языка работаю с 2003 года. Живу и работаю в городе Уральск. Люблю работать с детьми. У меня много призеров  олимпиады по казахскому языку. Готовлю взрослых людей для сдачи экзамена Казтест. Есть  ученики которые поступили в БИЛ ,True,True,,Западно-Казахстанский государственный университет им.М.Утемисова,более 20 лет,Buki
История Казахстана; История мира,4500,4.9,74,"Репетитор по предметам ""Всемирная история"", ""История Казахстана"", готовлю к ЕНТ, подготовка к сдаче СОР, СОЧ,  работаю  над ликвидацией пробелов  в знаниях. Учащиеся показывают высокие результаты на ЕНТ. Качество знаний учеников составляет более 85%. Умею найти индивидуальный подход к ученикам, раскрыть их интеллектуальные и творческие способности. ",True,False,Семей,Семипалатинский педагогический институт имени Н.К. Крупской,более 20 лет,Buki
Математика; Физика; Химия,3000,5.0,85,"Гарантирую качество и результат, особая методика и подход к каждому ученику. Ваш ребёнок полюбит математику после моих уроков, объясняю простым языком ",True,False,Астана (Нур-Султан),Евразийский национальный университет им. Л.Н. Гумилева,более 5 лет,Buki
Математика,3500,0.0,0,"Люблю математику, а еще больше люблю ее преподавать. 
 Вдохновение получаю, когда ученик говорящий о себе: ""математика не мое"", вдруг после моего объяснения восклицает ""о, я понял!"" Взрыв эмоций! И  всем этим своим состоянием  делится со родителям ",True,True,,Северо-Казахстанский государственный университет им. М. Козыбаева,более 20 лет,Buki
Казахский язык,4500,5.0,66,Репетитор казахского языка ,True,True,Тараз,Таразский государственный педагогический институт,более 10 лет,Buki
Математика; Графический дизайн,7000,4.9,60,"Преподаю по математике и логике. Объясняю на доступном и простом языке. Онлайн через платформу Google Meets. Подготавливаю к экзаменам ВОУД, КТЛ, НИШ РФМШ, ЕНТ, SAT. Из моих учеников поступали в НИШ (г.Алматы), ГТЛ (г.Кокшетау) КТЛ (г.Тараз), РФМШ (г. Астана), КТЛ (г. Астана) сдавали удачно ВОУД поступали в лицей. Пробных уроков нет.  ",True,True,Шымкент,Южно-Казахстанский государственный университет им. М. Ауэзова,более 5 лет,Buki
Казахский язык,3500,5.0,2,"Я преподаватель в вузе, стаж более 30 лет. Закончила Карагандинский государственный университет имени Е.А.Букетова 1990-1995гг. В данное время работаю в Таразком университете, ",True,False,Тараз,Карагандинский государственный университет имени академика Е.А. Букетова,более 20 лет,Buki
История мира,3000,5.0,50,"Репетитор по истории России, Казахстана, всемирной истории и человек общество право. 
Стаж 30 лет.  Учитель высшей категории. ",True,True,Семей,Томский государственный университет,более 20 лет,Buki
Физика,3500,5.0,1,"Я — учитель физики и математики, для которого наука — не просто предмет, а способ понимать мир. За годы работы я убедился, что каждый ученик способен мыслить логически, анализировать и открывать новое — нужно лишь найти к нему свой ключ. ",True,True,,Северо-Казахстанский государственный университет им. М. Козыбаева,более 5 лет,Buki
Математика; Физика,5000,5.0,55,Репетитор по школьной и высшей математике ,True,True,Алматы,Государственный университет имени Шакарима г.Семей,более 20 лет,Buki
Химия,3000,4.9,80,Умею находить подход к каждому ученику ,True,False,Аксай,Уфимский Государственный Нефтяной Технический Университет,более 3 лет,Buki
Казахский язык,3500,0.0,0,"Преподавание казахского языка — это моя миссия и вдохновение. Я создаю атмосферу интереса и доверия, чтобы ученики полюбили язык и применяли его в жизни. Имею опыт работы с детьми и взрослыми, а также разработки материалов для разных уровней ",True,True,,Казахский национальный университет им.Аль-Фараби,более 5 лет,Buki
Английский язык,5000,4.8,88,"Джордж - носитель английского языка из США.
Обучаю английскому с нуля, обще-разговорный английский и готовлю к сдаче экзаменов (IELTS, TOEFL) ",True,False,Алматы,"The University of Queensland , Trinity College london",более 10 лет,Buki
Английский язык; История Казахстана; География; История мира,5000,5.0,94,Репетитор Алматы Казахстан ,True,False,Алматы,Казахстанско-Британский технический университет,более 10 лет,Buki
Физика,3500,0.0,0,"Преподавание физики и математики — это мой способ менять отношение учеников к науке. Часто после школы у ребят остаётся негатив к этим предметам, и моя цель — показать, что они не только понятны, но и важны в современном мире. ",True,True,,Middle East Technical University,более 3 лет,Buki
Математика,4000,4.9,47,Репетитор по математике. Выпускник школы для одаренных детей. ,True,True,Астана (Нур-Султан),МГУ им. М. В. Ломоносова,более 5 лет,Buki
Английский язык,3500,5.0,7,"Закончила Назарбаев Университет, работаю с учениками разных возрастов. Обучаю английскому через практику и интерактивные задания. ",True,False,Шымкент,Назарбаев Университет,более 5 лет,Buki
Математика,3000,4.9,60,Я очень добрый человек и в это же время очень требовательный.  Я хочу помогать людям понять математику ,True,True,Алматы,Казахский национальный исследовательский технический университет им. К.И. Сатпаева,более 5 лет,Buki
Математика; Физика; Химия; Биология; Шахматы; Информатика; Казахский язык,5000,5.0,84,"Репетитор по математике (алгебра, геометрия, тригонометрия), физике,  казахскому языку для  5-9, 10-11 классов. Ученая степень: кандидат наук.
ОБЪЯВЛЯЮ набор учеников Алмалинского района АЛМАТЫ на ЛЕТНИЕ ЗАНЯТИЯ  с 15 июня по 15 ИЮЛЯ!!! ",False,False,Алматы,Казанский химико-технологический институт им С.М.Кирова,более 20 лет,Buki
Химия,3500,0.0,0,"Преподавание для меня — это не просто работа, это настоящее призвание и страсть. Я не просто даю знания, я вдохновляю, разжигаю любопытство и помогаю ученикам увидеть красоту и логику окружающего мира через призму химии и биологии. ",True,True,,Павлодарский государственный педагогический институт,более 5 лет,Buki
Математика,5000,5.0,48,Репетитор по математике и русскому языку. ,True,True,Алматы,Казахский Национальный медицинский университет имени С. Д. Асфендиярова,более 5 лет,Buki
Казахский язык; Скорочтение,4500,5.0,68,Репетитор по казахскому языку. Преподаватель по скорочтению. ,True,False,Алматы,Международный казахско-турецкий университет имени Х. А. Яссави,более 10 лет,Buki
Казахский язык,3500,5.0,13,Тридцать лет работаю учителем казахского языка и литературы. Использую разнообразные методы обучения для вдохновения учеников. ,True,False,Уральск,Западно-Казахстанский государственный университет им.М.Утемисова,более 20 лет,Buki
Математика; Физика,5000,5.0,48,"Репетитор по школьным предметам (математика, физика, английский и русский языки), а также подготовка к НИШ, БИЛ. ",True,True,Алматы,Евразийский национальный университет им. Л.Н. Гумилева,более 10 лет,Buki
Русский язык; Литература,5000,5.0,51,"Репетитор по русскому языку и литературе. Готовлю детей к  ЕНТ, ЕГЭ, в НИШ, БИЛ, 9 и 11  кл. к итоговой аттестации с русским и казахским языками обучения, творческому экзамену по литературе. Летние задания. Разговорный русский язык и грамматика для взрослых. ",True,False,Тараз,Джамбулский педагогический институт,более 20 лет,Buki
Математика,3500,5.0,1,"Студентка 3 курса, имею опыт преподавания более двух лет. Помогаю ученикам не просто улучшить оценки, но и полюбить математику. ",True,False,Алматы,Казахстанско-Британский технический университет,более 3 лет,Buki
Математика,4500,4.9,59,"Преподаватель математики , алгебры и геометрии, могу работать по ускоренной программе, готовлю к ЕНТ , ЕГЭ,КТЛ,НИШ,за рубеж, домашние, СОР, СОЧ. ",True,False,Актау,Атырауский государственный университет имени Х.Досмухамедова,более 20 лет,Buki
Английский язык,3500,0.0,0,Преподаватель английского языка ,True,False,Атырау,Атырауский государственный университет имени Х.Досмухамедова,более 5 лет,Buki
История Казахстана; География,3500,5.0,49,Работаю в школе с 1992 года. Учитель географии и истории. Учитель высшей категории. Учитель-исследователь. ,True,False,Алматы,Казахский национальный университет им.Аль-Фараби,более 20 лет,Buki
Математика; Химия; Биология,7000,5.0,30,"Выпускник Назарбаев Университета и в настоящее время обучаюсь на первом курсе магистратуры в этом же вузе. Провожу занятия для учащихся 5–11 классов с акцентом на повышение успеваемости, а также подготовку к НИШ, МЭСК, SAT и ЕНТ. Преподаю секции математики и критического мышления в рамках курса NUET для абитуриентов Назарбаев Университета. ",True,True,Астана (Нур-Султан),Назарбаев Университет,более 5 лет,Buki
Казахский язык,3500,4.9,9,Преподаю казахский и русский языки для учеников всех возрастов. Опыт более 5 лет. Занятия нацелены на закрепление базовых знаний и развитие навыков. Провожу индивидуальные уроки для школьников и взрослых. ,True,False,Караганда,"Академия ""Болашак""",более 5 лет,Buki
Химия,6000,4.9,42,"Подтяну знания по химии ученика за 7 - 11 класс, при необходимости подготовлю обучающегося или обучающуюся для сдачи ЕНТ или КТА. ",False,True,Алматы,Казахский национальный педагогический университет имени Абая,более 10 лет,Buki
Казахский язык,3500,0.0,0,"Я преподаватель казахского языка, специализируюсь на развитии профессиональной и языковой компетенции студентов. В своей работе уделяю особое внимание инновационным образовательным технологиям, коммуникации и развитию культурной грамотности. ",True,True,,Таразский государственный университет им.М.Х.Дулати,более 20 лет,Buki
Английский язык,4000,4.9,68,Репетитор по английскому для детей и взрослых. ,True,False,Кызылорда,Кызылординский университет Коркыт Ата,более 20 лет,Buki
Химия,4000,4.9,47,"Опыт более 10лет подготовки к ЕНТ,  олимпиадам ",True,False,Туркестан,Международный казахско-турецкий университет имени Х.А.Ясави,более 10 лет,Buki
Английский язык,3500,0.0,0,"Я преподаю английский язык с удовольствием и вниманием к каждому . Мне важно, чтобы уроки проходили в спокойной, дружелюбной атмосфере, где ученик чувствует уверенность и не боится ошибок. Я люблю помогать людям понимать язык и видеть их прогресс. ",True,True,,Cardiff university,более 1 года,Buki
Подготовка к школе; Начальная школа,4500,4.9,42,Репетитор по предметам начальной школы + подготовка к школе. ,True,False,Алматы,Целиноградский государственный педагогический институт им. С. Сейфуллина,более 20 лет,Buki
Программирование; Информатика,8000,5.0,25,"Я имею опыт как в образовательной сфере (школа ТАМОС, колледж (Академия гражданской Авиации)), так и производственной(системное администрирование, СУБД, helpdesk, программирование). И могу дать весь спектр теоретических и практических знаний по информатике и программированию.  ",True,True,Алматы,Томский государственный университет систем управления и радиоэлектроники,более 10 лет,Buki
Английский язык,3500,0.0,0,"Закончила университет в 2024 году по специальности Переводчик английского языка. 
В данное время учусь на магистратуре по специальности Иностранный язык; два иностранных языка. (Преподаватель английского языка) 
 ",True,False,Астана (Нур-Султан),Международный казахско-турецкий университет имени Х.А.Ясави,более 1 года,Buki
Русский язык; Литература; Подготовка к школе; Начальная школа; Няня для детей,2000,5.0,51,"Работаю репетитором давно. Нахожу общий язык с детьми достаточно легко.  Имею опыт работы с детьми от полутора до шести лет. В свободное время изучаю  турецкий язык, преподаю русский язык иностранцам.  ",True,False,Костанай,Костанайский госуниверситет им. А. Байтурсынова,более 20 лет,Buki
Математика,3500,0.0,0,"Шалқар Жарқынбек — молодой педагог дополнительного образования из Туркестана, преподаёт математику 5–10 классам. Имеет более двух лет опыта, умеет преподавать математику на казахском, русском и английском языках, стремится к профессиональному росту. ",True,False,Туркестан,Казахский национальный университет им.Аль-Фараби,более 2 лет,Buki
Немецкий язык; Испанский язык,7000,5.0,31,"Преподаватель и переводчик-синхронист немецкого и испанского языков. Опыт более 10 лет. Образование: КазУМОиМЯ, стажировки в Германии и Испании. Занятия на русском языке. Работаю со школьниками, студентами и взрослыми. Ученики по всему миру. Индивидуальный подход и результат. ",True,False,Алматы,Казахский университет международных отношений и мировых языков имени Абылай хана,более 10 лет,Buki
Казахский язык,3500,5.0,1,"После школы , долго думая на какую профессию идти , в итоге выбрала специальность Преподавателя . Я люблю детей и с ними общаться. Думаю , что в этом моя сила) ",True,True,,Западно-Казахстанский инновационно-технологический университет университет,более 5 лет,Buki
Подготовка к школе; Начальная школа; Логопеды,7000,4.8,60,"Преподаю на казахском и русском языках.
Опыт работы - более 20 лет. ",False,False,Алматы,Казахский национальный педагогический университет имени Абая,более 20 лет,Buki
Математика; Физика,5000,4.9,41,"Репетитор по математике и физике. Работаю с 2010г. Окончила 165 тл г.Алматы в 2007г, олимпиадница. В 2019г окончила аспирантуру СПбГУ(преподаватель). ",True,False,Алматы,Санкт-Петербургский государственный университет,более 10 лет,Buki
Русский язык,3500,4.6,8,"Учитель русского языка и литературы с опытом более 20 лет. Подготавливаю к ЕНТ и аттестациям. Использую современные цифровые технологии на уроках. Среди моих учеников обладатели ""Алтын белгi"" и аттестатов с отличием. Преподаю на казахском и русском языках. ",True,False,Астана (Нур-Султан),Евразийский национальный университет им. Л.Н. Гумилева,более 20 лет,Buki
Математика,5000,4.9,40,Репетитор по математике для школьников. Подготовка к ЕНТ и колледж . ,True,False,Алматы,Казахский национальный педагогический университет имени Абая,более 20 лет,Buki
Математика; Химия; Биология; Английский язык; Казахский язык,8000,4.8,38,"Выпускник КТЛ
Дважды серебряный призер республиканских олимпиад по биологии
Студент Назарбаев университета, факультет химической инженерии
137/140 на ЕНТ
Подготовил более 100 учеников, свыше 90 поступили на грант, 68 поступили зарубеж. 
Занятия будут идти с фундаментальных правил, раскрывая темы последовательно. Со мной вы полюбите учиться новому ",True,True,Алматы,Назарбаев Университет,более 5 лет,Buki
Русский язык,3500,0.0,0,"Преподаю русский язык и литературу, учу детей слышать слово и понимать смысл. Легко нахожу подход к самым разным ученикам. ",True,True,,Восточно-Казахстанский государственный университет им. С.Аманжолова,более 1 года,Buki
Английский язык,3500,4.8,41,"Я репетитор английского языка с опытом более 20 лет. Окончила магистратуру по иностранной филологии, преподавала в вузе, языковых школах и на частной практике.
Работаю с учениками разного возраста — школьники, студенты, взрослые. Преподаю английский уровней A1–B2, включая деловой английский. Помогаю с программой школы, грамматикой, произношением
 ",True,False,Петропавловск,Кокшуауски Государственный Униеверситет им.Ш.Уалиханова,более 20 лет,Buki
Английский язык; Китайский язык; Японский язык,4000,5.0,27,"Меня зовут Сабина Камильевна, я являюсь дипломированным специалистом с десятилетним стажем. Проходила стажировку за рубежом.

На уроках использую новейшие издания учебников и современные методики, делаю упор на коммуникативные навыки, также осуществляю помощь по школьной программе и с домашним заданием. 
Часть учебных материалов разрабатываю сама.
 ",True,False,Семей,Государственный университет имени Шакарима г.Семей,более 10 лет,Buki
Английский язык,3500,5.0,20,"Я репетитор английского языка и математики, начала преподавать в 2017 году. Могу подготовить к различным экзаменам по обоим предметам. ",True,False,Астана (Нур-Султан),Евразийский гуманитарный институт,более 5 лет,Buki
Игра на фортепиано; Музыка; Сольфеджио,4000,5.0,23,Репетитор по сольфеджио и фортепиано. ,True,True,Темиртау,Музыкальное училище. Образование СССР!,более 20 лет,Buki
Английский язык; Чешский язык,8000,5.0,28,Репетитор чешского языка с нуля ,True,False,Алматы,Mendel University,более 5 лет,Buki
Химия,3500,0.0,0,"Мне нравится преподавать, потому что я искренне получаю удовольствие, когда ученики начинают понимать тему, видеть результаты и верить в свои силы. Я люблю делиться знаниями, вдохновлять и делать науку доступной и интересной для каждого. ",True,False,Абай,Казахский национальный университет им.Аль-Фараби,более 1 года,Buki
Математика; Английский язык,7000,5.0,35,"Преподаю математику и Английский язык для учеников младших, средних и старших классов. Готовлю к экзаменам(ЕНТ, НИШ, КТЛ, IELTS). Опыт 6 лет. ",True,False,Астана (Нур-Султан),Назарбаев Университет,более 5 лет,Buki
Английский язык; Корейский язык,4500,5.0,28,"Меня зовут Дильнара, я преподаватель английского и корейского языка. Провожу интересные и понятные занятия для детей и взрослых. ",True,False,Алматы,Казахский национальный педагогический университет имени Абая,более 3 лет,Buki
Казахский язык,3500,0.0,0,Работаю в вузе. Я хочу попробовать себя в этом режиме. Мне нравится преподавать казахский ,True,True,,Таразский государственный педагогический институт,более 20 лет,Buki
Математика; Физика,4000,5.0,46,Репетитор по школьной программе по физике и математике ,True,False,Астана (Нур-Султан),Евразийский национальный университет им. Л.Н. Гумилева,более 10 лет,Buki
Математика,8000,5.0,31,"9 лет опыта, красный диплом, степень магистра и системный подход. Математика — без страха и скуки. Пора разобраться и полюбить. ",True,True,Астана (Нур-Султан),Университет имени Сулеймана Демиреля,более 10 лет,Buki
Физика,3500,5.0,2,"Я — начинающий преподаватель физики, математики и электротехники. Готовлюсь к работе с учениками, разрабатываю методику обучения, ориентированную на понимание материала, логику и практическое применение знаний. Стремлюсь сделать процесс обучения интересным и доступным, используя наглядные примеры и индивидуальный подход. ",True,False,Алматы,Казахстанско-Британский технический университет,более 2 лет,Buki
Математика,3500,4.8,31,"Преподаватель, который заинтересует вашего ребенка в изучении школьного предмета! ",True,False,Павлодар,Павлодарский государственный педагогический институт,более 3 лет,Buki
Математика; Высшая математика,5000,5.0,33,"Репетитор математики, высшей математики и линейного программирования ",True,False,Караганда,Карагандинский государственный университет имени академика Е.А. Букетова,более 20 лет,Buki
Казахский язык,3500,5.0,1,Я люблю делиться красотой и богатством казахского языка. На моих уроках ученики учатся говорить свободно и с удовольствием открывают для себя культуру Казахстана. ,True,True,,Казахский университет международных отношений и мировых языков им.Абылай хана,более 3 лет,Buki
Математика; Английский язык; Актерское мастерство; Начальная школа; Казахский язык,5000,4.8,35,Буду рада стать учителем Вашей мечты! ,True,False,Караганда,"Колледж иностранных языков ""Лингва""",более 10 лет,Buki
Математика; Русский язык; Начальная школа,4000,4.6,44,Имею огромный стаж работы с учениками младших классов. ,True,False,Алматы,Казахский государственный женский педагогический университет,более 20 лет,Buki
Английский язык,3500,0.0,0,"Привет! Я преподаватель английского с опытом 10+. Преподавание для меня это не только работа, но и любимое хобби. Мне искренне нравится видеть прогресс моих учеников и помогать говорить увереннее. На уроках у нас дружелюбная и комфортная атмосфера. ",True,True,,Костанайский государтсвенный университет имени А.Байтурсынова,более 10 лет,Buki
Математика; Физика,3500,4.9,25,Репетитор по математике и физике. В данный момент бакалавр механико-математического факультета ТГУ. Опыт работы 4 года. ,True,True,Алматы,ТГУ (Томский государственный),более 3 лет,Buki
Математика; Физика,5000,4.9,29,"Репетитор по математике и физике. ЕНТ, ЕГЭ. Подготовка к сдаче вступительных экзаменов на английском, немецком и чешском языках. ",False,False,Усть-Каменогорск,Томский государственный университет,более 20 лет,Buki
Математика,3500,0.0,0,"Преподавание математики — это мое увлечение , которым я делюсь с учениками. Имею опыт работы с учениками разных возрастов и уровней подготовки. На занятиях создаю доброжелательную атмосферу, где ученику комфортно задавать вопросы и не бояться ошибок. ",True,True,,Казахский национальный университет им.Аль-Фараби,более 3 лет,Buki
Французский язык,7000,5.0,27,"Также занимаюсь переводами с французского языка. Был переводчиком Жерара Депардье, известных французских компаний. ",True,False,Алматы,Высшая школа общественных наук (Париж),более 5 лет,Buki
Математика,4000,5.0,25,"Помимо математики (алгебры), преподаю геометрию.
Опыт работы - более 5 лет. ",True,True,Петропавловск,Северо-Казахстанский государственный университет имени М. Козыбаева,более 5 лет,Buki
